id,utc,rssi
ec43af68232b6ebf,2025-09-22T22:58:54.949504+00:00,-74
72aee4093924bb7f,2025-09-22T22:58:54.970253+00:00,-97
6c7835a65a9bddf2,2025-09-22T22:58:55.027848+00:00,-56
fdeb8c8bb44336c0,2025-09-22T22:58:55.034471+00:00,-79
beec830848e2c147,2025-09-22T22:58:55.040063+00:00,-57
b4a4e41e39ec14ce,2025-09-22T22:58:55.099414+00:00,-90
beec830848e2c147,2025-09-22T22:58:55.103046+00:00,-63
72aee4093924bb7f,2025-09-22T22:58:55.214769+00:00,-69
1a05b3e8c53a8478,2025-09-22T22:58:55.224249+00:00,-33
beec830848e2c147,2025-09-22T22:58:55.250595+00:00,-38
fbf558674514f3e2,2025-09-22T22:58:55.263023+00:00,-95
ec43af68232b6ebf,2025-09-22T22:58:55.265650+00:00,-59
3b2b0ebd7d52b012,2025-09-22T22:58:55.283433+00:00,-53
beec830848e2c147,2025-09-22T22:58:55.286974+00:00,-53
6c7835a65a9bddf2,2025-09-22T23:08:02.666188+00:00,-69
aa407a1493a87a89,2025-09-22T23:08:02.671998+00:00,-63
beec830848e2c147,2025-09-22T23:08:02.675834+00:00,-54
ec43af68232b6ebf,2025-09-22T23:08:02.680562+00:00,-73
5584d1087329bd47,2025-09-22T23:08:02.691479+00:00,-68
aaca87702d0c7d61,2025-09-22T23:08:02.794282+00:00,-51
6f404b8d34b81f25,2025-09-22T23:08:02.835966+00:00,-56
8cdd491edd64c453,2025-09-22T23:08:02.852281+00:00,-48
5584d1087329bd47,2025-09-22T23:08:13.479215+00:00,-67
aa407a1493a87a89,2025-09-22T23:08:13.508719+00:00,-69
885841c22f58b8ef,2025-09-22T23:08:13.516773+00:00,-83
aaca87702d0c7d61,2025-09-22T23:08:13.533827+00:00,-66
beec830848e2c147,2025-09-22T23:08:13.535994+00:00,-64
8cdd491edd64c453,2025-09-22T23:08:13.586794+00:00,-38
e179b5fd69f2990e,2025-09-22T23:08:13.611111+00:00,-94
a01b5344d04112cf,2025-09-22T23:08:13.646280+00:00,-95
ec43af68232b6ebf,2025-09-22T23:08:13.649203+00:00,-73
e7588156477da903,2025-09-22T23:08:13.669678+00:00,-43
fdeb8c8bb44336c0,2025-09-22T23:08:24.078166+00:00,-85
6c7835a65a9bddf2,2025-09-22T23:08:24.085893+00:00,-74
aa407a1493a87a89,2025-09-22T23:08:24.121225+00:00,-52
aaca87702d0c7d61,2025-09-22T23:08:24.128435+00:00,-62
beec830848e2c147,2025-09-22T23:08:24.164750+00:00,-59
a01b5344d04112cf,2025-09-22T23:08:24.183879+00:00,-81
1d5d6a0efa946028,2025-09-22T23:08:24.189978+00:00,-78
e7588156477da903,2025-09-22T23:08:24.254400+00:00,-59
5584d1087329bd47,2025-09-22T23:08:24.316979+00:00,-67
ad935f948582abac,2025-09-22T23:08:24.424947+00:00,-83
ec43af68232b6ebf,2025-09-22T23:08:24.428470+00:00,-59
b5a728f1ef908fbe,2025-09-22T23:08:24.436797+00:00,-64
04d172438ba90f64,2025-09-22T23:08:24.474790+00:00,-93
d4eccc7ac7581b66,2025-09-22T23:08:24.493592+00:00,-69
bbb809ad4df38d77,2025-09-22T23:08:24.529626+00:00,-65
8cdd491edd64c453,2025-09-22T23:08:24.591507+00:00,-42
79d4d420a6525d54,2025-09-22T23:08:24.740258+00:00,-87
